order_id,order_date,customer_id,product_id,quantity,unit_price,discount,sales,profit
O00039,2025-06-20,C0784,P049,6,603.63,0.0,3621.78,3353.64
O00040,2025-09-09,C0177,P010,3,460.99,0.2,1106.38,-564.02
O00041,2024-12-16,C0438,P037,6,1029.46,0.0,6176.76,4624.32
O00042,2025-10-16,C0161,P026,6,39.15,0.05,223.15,-5110.91
O00043,2024-05-04,C0100,P021,2,949.32,0.0,1898.64,1371.68
O00044,2024-11-13,C0001,P043,2,330.9,0.1,595.62,-625.54
O00045,2024-03-30,C0013,P015,7,720.35,0.0,5042.45,1667.82
O00046,2025-07-14,C0380,P046,7,1026.09,0.0,7182.63,4861.71
O00047,2025-06-06,C0348,P025,7,416.82,0.05,2771.85,1787.65
O00048,2025-08-12,C0032,P006,1,358.18,0.2,286.54,234.38
O00049,2025-07-12,C0280,P048,7,424.33,0.0,2970.31,-2707.25
O00050,2024-08-13,C0219,P052,7,1125.55,0.05,7484.91,2387.65
O00051,2024-02-19,C0458,P034,6,1165.94,0.05,6645.86,3902.96
O00052,2025-11-10,C0796,P044,4,431.66,0.1,1553.98,249.42
O00053,2024-12-26,C0554,P009,4,57.81,0.0,231.24,-804.28
O00054,2024-03-09,C0735,P021,4,949.32,0.05,3607.42,2553.5
O00055,2025-11-08,C0154,P021,1,949.32,0.2,759.46,495.98
O00056,2025-12-27,C0173,P046,4,1026.09,0.0,4104.36,2778.12
O00057,2024-11-21,C0601,P022,2,1116.41,0.0,2232.82,1087.22
O00058,2025-07-16,C0249,P044,2,431.66,0.15,733.82,81.54
O00059,2024-01-27,C0680,P019,1,46.28,0.0,46.28,-802.46
O00060,2024-03-09,C0371,P037,4,1029.46,0.0,4117.84,3082.88
O00061,2024-07-21,C0161,P013,1,485.0,0.0,485.0,68.67
O00062,2025-04-24,C0676,P034,6,1165.94,0.1,6296.08,3553.18
O00063,2024-04-07,C0441,P005,7,831.29,0.15,4946.18,3924.95
O00064,2024-01-25,C0643,P045,6,570.48,0.05,3251.74,-635.72
O00065,2025-05-03,C0362,P002,3,787.94,0.05,2245.63,-328.82
O00066,2025-07-17,C0101,P060,2,303.49,0.0,606.98,394.3
O00067,2025-06-24,C0545,P051,4,174.29,0.0,697.16,-2002.56
O00068,2025-08-07,C0100,P035,5,615.36,0.0,3076.8,1875.0
O00069,2025-08-09,C0531,P055,1,212.17,0.0,212.17,-101.8
O00070,2025-03-16,C0334,P049,6,603.63,0.0,3621.78,3353.64
O00071,2025-01-14,C0634,P009,4,57.81,0.1,208.12,-827.4
O00072,2025-09-18,C0697,P045,6,570.48,0.0,3422.88,-464.58
O00073,2024-09-11,C0326,P023,1,69.97,0.0,69.97,-813.12
O00074,2024-03-12,C0706,P052,3,1125.55,0.0,3376.65,1192.11
O00075,2025-07-03,C0089,P052,4,1125.55,0.0,4502.2,1589.48
O00076,2024-07-20,C0086,P058,1,1114.65,0.0,1114.65,1092.08
O00077,2025-12-16,C0795,P028,5,586.16,0.0,2930.8,1439.45
O00078,2024-10-29,C0460,P012,7,312.99,0.0,2190.93,2035.11
O00079,2025-09-14,C0361,P008,4,635.81,0.05,2416.08,901.0
O00080,2024-02-01,C0125,P010,3,460.99,0.1,1244.67,-425.73
O00081,2025-04-26,C0232,P060,5,303.49,0.15,1289.83,758.13
O00082,2024-11-23,C0549,P036,3,548.94,0.1,1482.14,-842.8
O00083,2024-12-04,C0658,P022,3,1116.41,0.05,3181.77,1463.37
O00084,2024-07-12,C0734,P027,6,1014.33,0.15,5173.08,2696.7
O00085,2025-12-10,C0327,P011,5,148.23,0.05,704.09,-2244.36
O00086,2024-10-14,C0364,P035,2,615.36,0.05,1169.18,688.46
O00087,2025-09-13,C0131,P026,3,39.15,0.0,117.45,-2549.58
O00088,2024-11-06,C0067,P048,6,424.33,0.0,2545.98,-2320.5
O00089,2024-02-05,C0351,P002,4,787.94,0.0,3151.76,-280.84
O00090,2025-10-04,C0464,P056,1,649.23,0.0,649.23,177.17
O00091,2024-05-15,C0084,P004,6,187.13,0.1,1010.5,-1662.2
O00092,2024-07-16,C0327,P026,6,39.15,0.0,234.9,-5099.16
O00093,2025-09-21,C0514,P021,2,949.32,0.1,1708.78,1181.82
O00094,2025-10-15,C0649,P044,7,431.66,0.15,2568.38,285.4
O00095,2025-11-01,C0751,P040,7,56.66,0.05,376.79,-1570.96
O00096,2024-11-07,C0273,P012,7,312.99,0.0,2190.93,2035.11
O00097,2025-07-07,C0314,P030,3,81.03,0.0,243.09,-136.47
O00098,2024-08-27,C0700,P033,7,1117.52,0.0,7822.64,5113.29
O00099,2025-06-25,C0555,P028,6,586.16,0.2,2813.57,1023.95
O00100,2025-01-02,C0219,P002,7,787.94,0.1,4964.02,-1043.03
O00101,2024-02-07,C0549,P011,4,148.23,0.1,533.63,-1825.13
O00102,2024-11-01,C0127,P031,2,333.66,0.05,633.95,-1068.89
O00103,2024-12-07,C0360,P016,2,627.86,0.1,1130.15,1071.29
O00104,2024-07-07,C0246,P033,7,1117.52,0.1,7040.38,4331.03
O00105,2024-09-30,C0795,P010,4,460.99,0.0,1843.96,-383.24
O00106,2025-01-02,C0028,P045,7,570.48,0.0,3993.36,-542.01
O00107,2024-02-06,C0686,P012,4,312.99,0.0,1251.96,1162.92
O00108,2024-04-20,C0225,P039,4,240.05,0.05,912.19,-2604.25
O00109,2025-07-14,C0029,P051,1,174.29,0.15,148.15,-526.78
O00110,2024-09-14,C0529,P022,3,1116.41,0.05,3181.77,1463.37
O00111,2025-03-20,C0543,P009,4,57.81,0.05,219.68,-815.84
O00112,2025-02-17,C0114,P001,1,546.74,0.15,464.73,-295.3
O00113,2025-02-06,C0031,P022,2,1116.41,0.0,2232.82,1087.22
O00114,2024-10-29,C0090,P007,5,540.47,0.0,2702.35,2030.3
O00115,2024-12-19,C0328,P053,2,858.22,0.15,1458.97,359.35
O00116,2025-08-25,C0106,P059,5,66.68,0.15,283.39,-943.96
O00117,2025-12-06,C0563,P059,4,66.68,0.1,240.05,-741.83
O00118,2024-07-06,C0063,P056,3,649.23,0.0,1947.69,531.51
O00119,2025-05-04,C0632,P036,1,548.94,0.2,439.15,-335.83
O00120,2025-12-09,C0700,P020,3,921.34,0.1,2487.62,851.96
O00121,2024-01-06,C0574,P027,4,1014.33,0.1,3651.59,2000.67
O00122,2025-07-27,C0756,P016,5,627.86,0.0,3139.3,2992.15
O00123,2024-12-29,C0752,P051,2,174.29,0.05,331.15,-1018.71
O00124,2025-12-08,C0038,P027,1,1014.33,0.1,912.9,500.17
O00125,2025-02-26,C0274,P024,7,665.45,0.15,3959.43,1117.5
O00126,2025-09-04,C0609,P042,7,233.96,0.05,1555.83,-2750.78
O00127,2024-05-01,C0272,P023,7,69.97,0.05,465.3,-5716.33
O00128,2024-04-13,C0590,P022,3,1116.41,0.1,3014.31,1295.91
O00129,2025-11-08,C0620,P014,5,465.85,0.05,2212.79,-1443.06
O00130,2025-01-19,C0798,P005,1,831.29,0.0,831.29,685.4
O00131,2025-02-12,C0264,P003,7,1064.41,0.0,7450.87,6658.82
O00132,2024-05-04,C0279,P025,1,416.82,0.0,416.82,276.22
O00133,2024-06-14,C0020,P060,4,303.49,0.1,1092.56,667.2
O00134,2025-08-21,C0229,P016,6,627.86,0.0,3767.16,3590.58
O00135,2024-08-09,C0225,P039,6,240.05,0.0,1440.3,-3834.36
O00136,2025-03-03,C0363,P020,7,921.34,0.15,5481.97,1665.43
O00137,2024-08-19,C0337,P019,4,46.28,0.1,166.61,-3228.35
O00138,2024-07-11,C0686,P010,1,460.99,0.0,460.99,-95.81
O00139,2024-05-01,C0620,P034,1,1165.94,0.0,1165.94,708.79
O00140,2025-11-10,C0583,P040,2,56.66,0.1,101.99,-454.51
O00141,2025-11-18,C0005,P022,1,1116.41,0.0,1116.41,543.61
O00142,2024-03-25,C0378,P032,4,127.03,0.05,482.71,-1351.77
O00143,2024-09-15,C0584,P029,1,580.35,0.05,551.33,-329.13
O00144,2025-02-16,C0196,P017,2,517.11,0.0,1034.22,400.42
O00145,2024-10-07,C0340,P042,3,233.96,0.1,631.69,-1214.0
O00146,2025-06-11,C0582,P034,6,1165.94,0.0,6995.64,4252.74
O00147,2024-07-09,C0636,P004,5,187.13,0.05,888.87,-1338.38
O00148,2024-02-13,C0684,P030,1,81.03,0.0,81.03,-45.49
O00149,2024-09-03,C0344,P024,7,665.45,0.0,4658.15,1816.22
O00150,2025-03-13,C0320,P048,4,424.33,0.0,1697.32,-1547.0
O00151,2024-05-12,C0307,P019,3,46.28,0.15,118.01,-2428.21
O00152,2025-08-19,C0535,P058,3,1114.65,0.0,3343.95,3276.24
O00153,2024-01-09,C0336,P037,6,1029.46,0.0,6176.76,4624.32
O00154,2024-02-19,C0321,P008,4,635.81,0.0,2543.24,1028.16
O00155,2025-01-06,C0135,P025,2,416.82,0.1,750.28,469.08
O00156,2025-01-09,C0383,P054,3,1191.51,0.0,3574.53,1639.26
O00157,2024-08-03,C0190,P016,1,627.86,0.15,533.68,504.25
O00158,2024-07-08,C0420,P043,2,330.9,0.1,595.62,-625.54
O00159,2024-02-21,C0711,P048,3,424.33,0.05,1209.34,-1223.9
O00160,2025-04-29,C0621,P042,2,233.96,0.1,421.13,-809.33
O00161,2024-10-04,C0383,P006,3,358.18,0.0,1074.54,918.06
O00162,2024-03-27,C0783,P023,1,69.97,0.2,55.98,-827.11
O00163,2024-10-19,C0785,P021,5,949.32,0.2,3797.28,2479.88
O00164,2025-11-15,C0356,P021,1,949.32,0.0,949.32,685.84
O00165,2024-07-09,C0611,P053,2,858.22,0.05,1630.62,531.0
O00166,2025-10-16,C0274,P001,7,546.74,0.0,3827.18,-1493.03
O00167,2024-07-08,C0703,P033,1,1117.52,0.05,1061.64,674.59
O00168,2024-05-15,C0299,P059,2,66.68,0.1,120.02,-370.92
O00169,2024-07-09,C0207,P053,4,858.22,0.15,2917.95,718.71
O00170,2024-08-24,C0108,P037,3,1029.46,0.0,3088.38,2312.16
O00171,2024-03-29,C0675,P060,3,303.49,0.1,819.42,500.4
O00172,2025-03-05,C0238,P025,1,416.82,0.1,375.14,234.54
O00173,2024-08-31,C0651,P037,3,1029.46,0.0,3088.38,2312.16
O00174,2025-06-08,C0070,P033,6,1117.52,0.05,6369.86,4047.56
O00175,2024-12-24,C0401,P003,5,1064.41,0.1,4789.84,4224.09
O00176,2024-11-19,C0343,P003,7,1064.41,0.1,6705.78,5913.73
O00177,2024-12-10,C0352,P054,5,1191.51,0.2,4766.04,1540.59
O00178,2024-04-24,C0134,P011,6,148.23,0.0,889.38,-2648.76
O00179,2025-06-05,C0060,P022,4,1116.41,0.0,4465.64,2174.44
O00180,2024-03-17,C0278,P038,5,646.25,0.0,3231.25,1446.25
O00181,2025-06-11,C0377,P035,5,615.36,0.0,3076.8,1875.0
O00182,2025-12-31,C0635,P031,6,333.66,0.05,1901.86,-3206.66
O00183,2025-07-12,C0370,P059,4,66.68,0.15,226.71,-755.17
O00184,2024-11-28,C0197,P048,3,424.33,0.0,1272.99,-1160.25
O00185,2024-08-17,C0210,P057,1,743.47,0.1,669.12,500.78
O00186,2025-09-29,C0490,P040,7,56.66,0.0,396.62,-1551.13
O00187,2024-07-07,C0349,P059,4,66.68,0.0,266.72,-715.16
O00188,2024-12-18,C0721,P037,6,1029.46,0.1,5559.08,4006.64
O00189,2025-07-17,C0352,P033,5,1117.52,0.1,5028.84,3093.59
O00190,2025-11-05,C0454,P049,1,603.63,0.0,603.63,558.94
O00191,2025-11-04,C0052,P053,5,858.22,0.15,3647.44,898.39
O00192,2024-03-05,C0156,P005,4,831.29,0.05,3158.9,2575.34
O00193,2025-10-18,C0681,P055,2,212.17,0.0,424.34,-203.6
O00194,2024-03-24,C0276,P042,2,233.96,0.05,444.52,-785.94
O00195,2025-03-03,C0337,P054,5,1191.51,0.1,5361.8,2136.35
O00196,2025-11-10,C0473,P043,1,330.9,0.0,330.9,-279.68
O00197,2025-04-23,C0047,P056,5,649.23,0.1,2921.54,561.24
O00198,2025-11-23,C0406,P017,6,517.11,0.05,2947.53,1046.13
O00199,2024-09-08,C0277,P012,1,312.99,0.05,297.34,275.08
O00200,2024-08-18,C0119,P012,1,312.99,0.15,266.04,243.78
O00201,2024-08-26,C0335,P016,1,627.86,0.05,596.47,567.04
O00202,2024-09-16,C0358,P013,6,485.0,0.0,2910.0,412.02
O00203,2025-05-14,C0150,P027,6,1014.33,0.0,6085.98,3609.6
O00204,2024-11-26,C0435,P012,7,312.99,0.0,2190.93,2035.11
O00205,2025-06-23,C0597,P010,1,460.99,0.0,460.99,-95.81
O00206,2024-10-31,C0214,P032,4,127.03,0.0,508.12,-1326.36
O00207,2024-08-12,C0774,P048,1,424.33,0.05,403.11,-407.97
O00208,2024-05-18,C0490,P009,3,57.81,0.0,173.43,-603.21
O00209,2025-02-06,C0619,P031,3,333.66,0.0,1000.98,-1553.28
O00210,2025-10-18,C0057,P040,5,56.66,0.05,269.13,-1122.12
O00211,2025-09-19,C0614,P043,7,330.9,0.0,2316.3,-1957.76
O00212,2024-07-04,C0270,P007,6,540.47,0.05,3080.68,2274.22
O00213,2024-12-15,C0569,P045,1,570.48,0.1,513.43,-134.48
O00214,2025-05-30,C0644,P002,2,787.94,0.0,1575.88,-140.42
O00215,2025-03-23,C0201,P015,2,720.35,0.0,1440.7,476.52
O00216,2024-02-19,C0208,P020,2,921.34,0.05,1750.55,660.11
O00217,2025-03-08,C0048,P052,3,1125.55,0.0,3376.65,1192.11
O00218,2024-01-29,C0485,P012,5,312.99,0.05,1486.7,1375.4
O00219,2024-03-26,C0620,P047,6,272.32,0.1,1470.53,-1643.71
O00220,2025-04-22,C0329,P060,7,303.49,0.05,2018.21,1273.83
O00221,2024-03-15,C0129,P058,5,1114.65,0.0,5573.25,5460.4
O00222,2024-09-04,C0254,P019,3,46.28,0.15,118.01,-2428.21
O00223,2025-03-06,C0323,P006,2,358.18,0.0,716.36,612.04
O00224,2025-04-24,C0733,P014,3,465.85,0.15,1187.92,-1005.59
O00225,2024-11-21,C0100,P047,6,272.32,0.1,1470.53,-1643.71
O00226,2024-03-09,C0275,P012,7,312.99,0.0,2190.93,2035.11
O00227,2025-08-07,C0511,P039,3,240.05,0.0,720.15,-1917.18
O00228,2025-11-25,C0190,P023,2,69.97,0.0,139.94,-1626.24
O00229,2025-10-11,C0708,P047,1,272.32,0.15,231.47,-287.57
O00230,2025-07-01,C0728,P037,1,1029.46,0.0,1029.46,770.72
O00231,2024-10-21,C0305,P036,5,548.94,0.15,2333.0,-1541.9
O00232,2025-10-02,C0597,P047,5,272.32,0.05,1293.52,-1301.68
O00233,2024-12-22,C0605,P058,5,1114.65,0.05,5294.59,5181.74
O00234,2024-04-09,C0546,P022,1,1116.41,0.05,1060.59,487.79
O00235,2025-09-13,C0150,P032,4,127.03,0.0,508.12,-1326.36
O00236,2024-08-22,C0040,P038,2,646.25,0.0,1292.5,578.5
O00237,2025-11-17,C0278,P050,3,301.39,0.15,768.54,407.64
O00238,2024-09-26,C0105,P029,5,580.35,0.0,2901.75,-1500.55
O00239,2025-09-27,C0234,P023,2,69.97,0.15,118.95,-1647.23
O00240,2025-01-27,C0511,P051,5,174.29,0.2,697.16,-2677.49
O00241,2024-12-07,C0472,P058,3,1114.65,0.0,3343.95,3276.24
O00242,2024-08-05,C0168,P035,4,615.36,0.05,2338.37,1376.93
O00243,2025-09-02,C0015,P007,4,540.47,0.0,2161.88,1624.24
O00244,2024-02-14,C0181,P018,3,943.73,0.05,2689.63,2391.85
O00245,2024-12-08,C0364,P028,1,586.16,0.2,468.93,170.66
O00246,2024-09-26,C0624,P043,5,330.9,0.15,1406.32,-1646.58
O00247,2025-02-01,C0293,P041,7,256.22,0.15,1524.51,-986.67
O00248,2024-07-05,C0229,P050,5,301.39,0.0,1506.95,905.45
O00249,2025-04-30,C0442,P002,6,787.94,0.05,4491.26,-657.64
O00250,2024-10-09,C0058,P028,6,586.16,0.0,3516.96,1727.34
O00251,2024-05-17,C0181,P043,1,330.9,0.15,281.26,-329.32
O00252,2024-05-23,C0030,P060,6,303.49,0.0,1820.94,1182.9
O00253,2025-05-24,C0421,P009,2,57.81,0.0,115.62,-402.14
O00254,2024-07-10,C0355,P053,5,858.22,0.0,4291.1,1542.05
O00255,2024-08-12,C0467,P001,7,546.74,0.0,3827.18,-1493.03
O00256,2025-04-03,C0494,P012,7,312.99,0.0,2190.93,2035.11
O00257,2024-08-29,C0317,P051,3,174.29,0.0,522.87,-1501.92
O00258,2024-10-10,C0696,P048,6,424.33,0.15,2164.08,-2702.4
O00259,2024-06-27,C0735,P059,5,66.68,0.1,300.06,-927.29
O00260,2024-09-09,C0089,P037,1,1029.46,0.0,1029.46,770.72
O00261,2025-05-21,C0737,P037,2,1029.46,0.1,1853.03,1335.55
O00262,2025-01-25,C0158,P033,7,1117.52,0.0,7822.64,5113.29
O00263,2025-12-30,C0199,P031,7,333.66,0.1,2102.06,-3857.88
O00264,2025-07-18,C0424,P031,7,333.66,0.0,2335.62,-3624.32
O00265,2024-01-13,C0024,P018,3,943.73,0.05,2689.63,2391.85
O00266,2024-10-03,C0292,P052,3,1125.55,0.0,3376.65,1192.11
O00267,2024-07-30,C0156,P022,6,1116.41,0.0,6698.46,3261.66
O00268,2025-03-05,C0387,P037,1,1029.46,0.05,977.99,719.25
O00269,2024-07-13,C0652,P041,7,256.22,0.1,1614.19,-896.99
O00270,2025-12-07,C0740,P033,5,1117.52,0.1,5028.84,3093.59
O00271,2024-08-06,C0170,P037,5,1029.46,0.0,5147.3,3853.6
O00272,2025-01-16,C0436,P003,4,1064.41,0.05,4044.76,3592.16
O00273,2024-03-30,C0380,P019,7,46.28,0.1,291.56,-5649.62
O00274,2025-10-27,C0333,P027,6,1014.33,0.0,6085.98,3609.6
O00275,2025-10-28,C0507,P024,1,665.45,0.0,665.45,259.46
O00276,2025-08-03,C0792,P055,4,212.17,0.0,848.68,-407.2
O00277,2024-09-14,C0325,P054,7,1191.51,0.0,8340.57,3824.94
O00278,2024-02-12,C0053,P043,1,330.9,0.0,330.9,-279.68
O00279,2025-06-03,C0733,P022,6,1116.41,0.0,6698.46,3261.66
O00280,2024-11-09,C0746,P004,2,187.13,0.05,355.55,-535.35
O00281,2025-12-24,C0258,P046,4,1026.09,0.1,3693.92,2367.68
O00282,2025-05-25,C0402,P054,7,1191.51,0.1,7506.51,2990.88
O00283,2025-01-28,C0691,P030,4,81.03,0.1,291.71,-214.37
O00284,2025-12-22,C0404,P050,1,301.39,0.0,301.39,181.09
O00285,2025-08-08,C0385,P056,1,649.23,0.15,551.85,79.79
O00286,2024-12-01,C0738,P033,6,1117.52,0.1,6034.61,3712.31
O00287,2024-01-14,C0664,P013,7,485.0,0.05,3225.25,310.94
O00288,2024-03-08,C0406,P002,3,787.94,0.0,2363.82,-210.63
O00289,2024-11-20,C0130,P046,7,1026.09,0.05,6823.5,4502.58
O00290,2025-02-14,C0351,P034,4,1165.94,0.05,4430.57,2601.97
O00291,2024-01-23,C0542,P010,1,460.99,0.1,414.89,-141.91
O00292,2024-04-02,C0218,P004,4,187.13,0.1,673.67,-1108.13
O00293,2025-05-29,C0430,P059,7,66.68,0.15,396.75,-1321.54
O00294,2025-07-03,C0528,P020,2,921.34,0.15,1566.28,475.84
O00295,2024-01-22,C0069,P020,7,921.34,0.05,6126.91,2310.37
O00296,2025-01-06,C0456,P038,5,646.25,0.2,2585.0,800.0
O00297,2024-02-29,C0591,P022,3,1116.41,0.15,2846.85,1128.45
O00298,2025-06-12,C0172,P055,5,212.17,0.0,1060.85,-509.0
O00299,2025-09-01,C0439,P041,3,256.22,0.05,730.23,-345.99
O00300,2025-09-27,C0568,P022,1,1116.41,0.0,1116.41,543.61
O00301,2025-03-13,C0036,P016,7,627.86,0.0,4395.02,4189.01
O00302,2025-04-04,C0516,P052,3,1125.55,0.0,3376.65,1192.11
O00303,2025-11-08,C0208,P036,4,548.94,0.05,2085.97,-1013.95
O00304,2025-03-23,C0318,P056,6,649.23,0.0,3895.38,1063.02
O00305,2024-11-22,C0519,P021,1,949.32,0.0,949.32,685.84
O00306,2025-07-05,C0004,P002,6,787.94,0.0,4727.64,-421.26
O00307,2025-03-07,C0014,P054,3,1191.51,0.1,3217.08,1281.81
O00308,2025-09-07,C0358,P015,4,720.35,0.15,2449.19,520.83
O00309,2025-01-18,C0760,P051,4,174.29,0.2,557.73,-2141.99
O00310,2025-09-27,C0005,P043,6,330.9,0.0,1985.4,-1678.08
O00311,2024-02-02,C0632,P014,2,465.85,0.0,931.7,-530.64
O00312,2024-01-27,C0060,P046,1,1026.09,0.15,872.18,540.62
O00313,2024-03-13,C0392,P005,3,831.29,0.0,2493.87,2056.2
O00314,2025-02-10,C0345,P024,1,665.45,0.2,532.36,126.37
O00315,2025-06-02,C0375,P022,2,1116.41,0.1,2009.54,863.94
O00316,2024-06-07,C0066,P040,5,56.66,0.05,269.13,-1122.12
O00317,2024-04-23,C0603,P033,6,1117.52,0.0,6705.12,4382.82
O00318,2025-09-20,C0221,P037,5,1029.46,0.0,5147.3,3853.6
O00319,2025-07-02,C0617,P029,3,580.35,0.05,1654.0,-987.38
O00320,2025-04-18,C0525,P045,6,570.48,0.0,3422.88,-464.58
O00321,2024-12-22,C0442,P010,3,460.99,0.1,1244.67,-425.73
O00322,2024-11-03,C0247,P044,2,431.66,0.05,820.15,167.87
O00323,2024-01-16,C0522,P004,6,187.13,0.0,1122.78,-1549.92
O00324,2024-05-17,C0799,P006,4,358.18,0.0,1432.72,1224.08
O00325,2025-10-17,C0739,P044,3,431.66,0.05,1230.23,251.81
O00326,2024-09-04,C0734,P010,5,460.99,0.0,2304.95,-479.05
O00327,2025-05-30,C0176,P047,6,272.32,0.1,1470.53,-1643.71
O00328,2025-05-29,C0469,P008,2,635.81,0.05,1208.04,450.5
O00329,2024-08-14,C0319,P009,1,57.81,0.1,52.03,-206.85
O00330,2024-05-29,C0774,P056,4,649.23,0.0,2596.92,708.68
O00331,2025-05-20,C0761,P011,1,148.23,0.0,148.23,-441.46
O00332,2024-03-09,C0695,P055,5,212.17,0.1,954.76,-615.09
O00333,2024-12-27,C0131,P021,4,949.32,0.1,3417.55,2363.63
O00334,2025-10-11,C0256,P048,2,424.33,0.1,763.79,-858.37
O00335,2025-06-03,C0570,P057,5,743.47,0.05,3531.48,2689.78
O00336,2025-07-12,C0600,P008,3,635.81,0.15,1621.32,485.01
O00337,2024-03-01,C0281,P020,3,921.34,0.0,2764.02,1128.36
O00338,2024-05-26,C0110,P035,2,615.36,0.0,1230.72,750.0
O00339,2024-07-20,C0110,P052,5,1125.55,0.1,5064.98,1424.08
O00340,2024-08-01,C0548,P012,7,312.99,0.0,2190.93,2035.11
O00341,2024-05-21,C0364,P012,5,312.99,0.1,1408.46,1297.16
O00342,2025-12-11,C0393,P023,2,69.97,0.0,139.94,-1626.24
O00343,2024-04-30,C0653,P013,6,485.0,0.0,2910.0,412.02
O00344,2025-06-01,C0014,P017,1,517.11,0.0,517.11,200.21
O00345,2025-03-04,C0604,P008,3,635.81,0.1,1716.69,580.38
O00346,2025-03-22,C0220,P050,1,301.39,0.1,271.25,150.95
O00347,2024-06-05,C0745,P048,6,424.33,0.0,2545.98,-2320.5
O00348,2024-08-12,C0765,P009,1,57.81,0.0,57.81,-201.07
O00349,2025-03-19,C0402,P033,4,1117.52,0.0,4470.08,2921.88
O00350,2024-08-06,C0253,P039,2,240.05,0.0,480.1,-1278.12
O00351,2025-05-22,C0187,P038,2,646.25,0.1,1163.25,449.25
O00352,2024-01-29,C0146,P060,5,303.49,0.0,1517.45,985.75
O00353,2024-02-23,C0800,P039,6,240.05,0.0,1440.3,-3834.36
O00354,2025-06-16,C0151,P042,1,233.96,0.0,233.96,-381.27
O00355,2025-03-26,C0358,P002,2,787.94,0.05,1497.09,-219.21
O00356,2024-02-01,C0384,P005,3,831.29,0.1,2244.48,1806.81
O00357,2025-10-19,C0544,P038,7,646.25,0.1,4071.38,1572.38
O00358,2024-01-04,C0675,P055,1,212.17,0.05,201.56,-112.41
O00359,2025-11-29,C0447,P024,2,665.45,0.2,1064.72,252.74
O00360,2025-06-17,C0607,P039,3,240.05,0.05,684.14,-1953.19
O00361,2025-12-23,C0454,P013,3,485.0,0.15,1236.75,-12.24
O00362,2025-11-24,C0350,P028,1,586.16,0.05,556.85,258.58
O00363,2024-08-16,C0127,P046,4,1026.09,0.0,4104.36,2778.12
O00364,2025-07-07,C0167,P040,5,56.66,0.1,254.97,-1136.28
O00365,2024-06-03,C0346,P007,2,540.47,0.05,1026.89,758.07
O00366,2024-12-10,C0037,P053,5,858.22,0.1,3861.99,1112.94
O00367,2024-06-24,C0254,P056,1,649.23,0.0,649.23,177.17
O00368,2024-12-21,C0371,P029,6,580.35,0.0,3482.1,-1800.66
