customer_id,customer_name,segment,region,signup_date
C0432,Customer 0432,Corporate,East,2024-02-03
C0433,Customer 0433,Corporate,North,2023-01-28
C0434,Customer 0434,Home Office,East,2024-07-09
C0435,Customer 0435,Consumer,North,2024-12-02
C0436,Customer 0436,Consumer,North,2023-12-11
C0437,Customer 0437,Consumer,North,2024-01-30
C0438,Customer 0438,Consumer,South,2023-12-31
C0439,Customer 0439,Corporate,North,2023-03-02
C0440,Customer 0440,Corporate,North,2024-03-28
C0441,Customer 0441,Home Office,West,2024-06-10
C0442,Customer 0442,Consumer,South,2024-11-08
C0443,Customer 0443,Corporate,South,2024-11-09
C0444,Customer 0444,Consumer,North,2023-12-26
C0445,Customer 0445,Consumer,South,2024-12-01
C0446,Customer 0446,Corporate,South,2024-01-21
C0447,Customer 0447,Home Office,East,2024-04-13
C0448,Customer 0448,Corporate,North,2024-03-15
C0449,Customer 0449,Consumer,West,2024-12-30
C0450,Customer 0450,Corporate,West,2024-06-22
C0451,Customer 0451,Consumer,North,2023-03-29
C0452,Customer 0452,Home Office,North,2023-02-22
C0453,Customer 0453,Corporate,North,2023-10-27
C0454,Customer 0454,Consumer,East,2024-01-12
C0455,Customer 0455,Consumer,North,2024-05-03
C0456,Customer 0456,Consumer,West,2023-12-18
C0457,Customer 0457,Home Office,West,2024-01-11
C0458,Customer 0458,Consumer,West,2024-11-03
C0459,Customer 0459,Corporate,East,2023-09-02
C0460,Customer 0460,Corporate,West,2023-12-27
C0461,Customer 0461,Corporate,North,2024-02-11
C0462,Customer 0462,Consumer,South,2023-12-08
C0463,Customer 0463,Home Office,South,2024-12-07
C0464,Customer 0464,Consumer,West,2024-12-03
C0465,Customer 0465,Corporate,East,2024-01-10
C0466,Customer 0466,Corporate,West,2023-11-25
C0467,Customer 0467,Corporate,North,2024-03-05
C0468,Customer 0468,Home Office,West,2023-05-13
C0469,Customer 0469,Consumer,East,2023-11-07
C0470,Customer 0470,Consumer,East,2023-06-08
C0471,Customer 0471,Consumer,West,2023-04-16
C0472,Customer 0472,Consumer,South,2023-03-11
C0473,Customer 0473,Consumer,South,2024-03-04
C0474,Customer 0474,Consumer,East,2023-01-01
C0475,Customer 0475,Consumer,North,2024-04-16
C0476,Customer 0476,Consumer,South,2023-11-12
C0477,Customer 0477,Consumer,North,2023-09-25
C0478,Customer 0478,Corporate,North,2024-07-15
C0479,Customer 0479,Corporate,West,2024-01-29
C0480,Customer 0480,Consumer,East,2024-06-19
C0481,Customer 0481,Consumer,South,2024-06-01
C0482,Customer 0482,Consumer,South,2023-01-24
C0483,Customer 0483,Corporate,South,2023-06-07
C0484,Customer 0484,Consumer,East,2024-02-21
C0485,Customer 0485,Consumer,West,2024-12-13
C0486,Customer 0486,Consumer,West,2023-04-23
C0487,Customer 0487,Consumer,South,2023-03-19
C0488,Customer 0488,Consumer,South,2024-11-17
C0489,Customer 0489,Corporate,South,2024-12-06
C0490,Customer 0490,Corporate,East,2023-05-03
C0491,Customer 0491,Corporate,South,2023-10-21
C0492,Customer 0492,Corporate,East,2024-04-02
C0493,Customer 0493,Corporate,East,2023-05-23
C0494,Customer 0494,Consumer,South,2023-08-27
C0495,Customer 0495,Corporate,South,2023-10-16
C0496,Customer 0496,Consumer,South,2024-04-13
C0497,Customer 0497,Consumer,North,2023-08-13
C0498,Customer 0498,Corporate,North,2023-10-28
C0499,Customer 0499,Consumer,West,2023-07-31
C0500,Customer 0500,Consumer,South,2024-07-08
C0501,Customer 0501,Corporate,North,2023-04-22
C0502,Customer 0502,Home Office,East,2023-06-18
C0503,Customer 0503,Home Office,West,2023-07-02
C0504,Customer 0504,Consumer,South,2024-10-23
C0505,Customer 0505,Consumer,West,2024-11-20
C0506,Customer 0506,Corporate,West,2024-01-01
C0507,Customer 0507,Consumer,East,2023-04-25
C0508,Customer 0508,Home Office,East,2024-07-05
C0509,Customer 0509,Consumer,North,2023-12-26
C0510,Customer 0510,Consumer,West,2024-09-12
C0511,Customer 0511,Consumer,South,2023-09-20
C0512,Customer 0512,Home Office,West,2024-12-30
C0513,Customer 0513,Consumer,East,2024-08-12
C0514,Customer 0514,Consumer,North,2023-06-13
C0515,Customer 0515,Consumer,North,2024-06-13
C0516,Customer 0516,Consumer,East,2023-07-29
C0517,Customer 0517,Consumer,East,2023-09-13
C0518,Customer 0518,Corporate,North,2023-07-02
C0519,Customer 0519,Consumer,West,2024-05-13
C0520,Customer 0520,Corporate,West,2023-07-11
C0521,Customer 0521,Home Office,East,2024-04-11
C0522,Customer 0522,Consumer,South,2024-03-01
C0523,Customer 0523,Consumer,North,2024-07-02
C0524,Customer 0524,Corporate,West,2024-12-26
C0525,Customer 0525,Consumer,South,2023-01-07
C0526,Customer 0526,Consumer,West,2024-12-23
C0527,Customer 0527,Home Office,South,2023-03-21
C0528,Customer 0528,Home Office,East,2024-01-20
C0529,Customer 0529,Corporate,South,2023-09-06
C0530,Customer 0530,Consumer,North,2024-04-11
C0531,Customer 0531,Corporate,West,2024-06-10
C0532,Customer 0532,Corporate,East,2024-09-19
C0533,Customer 0533,Consumer,East,2023-10-21
C0534,Customer 0534,Corporate,West,2024-11-12
C0535,Customer 0535,Consumer,West,2023-08-24
C0536,Customer 0536,Consumer,West,2023-05-29
C0537,Customer 0537,Consumer,North,2023-10-04
C0538,Customer 0538,Consumer,East,2024-01-21
C0539,Customer 0539,Consumer,West,2024-05-02
C0540,Customer 0540,Home Office,South,2024-08-30
C0541,Customer 0541,Home Office,North,2023-06-14
C0542,Customer 0542,Corporate,West,2023-08-10
C0543,Customer 0543,Home Office,East,2024-11-16
C0544,Customer 0544,Home Office,East,2023-11-18
C0545,Customer 0545,Consumer,West,2023-06-26
C0546,Customer 0546,Consumer,East,2024-12-20
C0547,Customer 0547,Consumer,South,2023-11-24
C0548,Customer 0548,Consumer,South,2024-12-20
C0549,Customer 0549,Corporate,South,2024-11-02
C0550,Customer 0550,Consumer,North,2024-10-23
C0551,Customer 0551,Consumer,West,2024-02-29
C0552,Customer 0552,Consumer,West,2024-08-05
C0553,Customer 0553,Consumer,South,2024-12-02
C0554,Customer 0554,Home Office,South,2023-07-16
C0555,Customer 0555,Consumer,West,2023-01-28
C0556,Customer 0556,Consumer,North,2023-08-23
C0557,Customer 0557,Consumer,East,2024-04-09
C0558,Customer 0558,Consumer,South,2024-02-04
